,GBP,HKD,IDR,ILS,DKK,INR,CHF,MXN,CZK,SGD,THB,HRK,EUR,MYR,NOK,CNY,BGN,PHP,PLN,ZAR,CAD,ISK,BRL,RON,NZD,TRY,JPY,RUB,KRW,USD,AUD,HUF,SEK
2020-04-25,0.8101666667,7.7505555556,15625.0,3.5171296296,6.9052777778,76.2648148148,0.974537037,24.845462963,25.287037037,1.4255555556,32.4351851852,6.9928703704,0.9259259259,4.360462963,10.6282407407,7.0791666667,1.8109259259,50.825,4.192962963,18.9832407407,1.4049074074,146.8518518519,5.5674074074,4.4832407407,1.6658333333,6.9782407407,107.6111111111,74.4436111111,1233.8796296296,1.0,1.5687962963,328.8796296296,10.0669444444
2020-04-24,0.8101666667,7.7505555556,15625.0,3.5171296296,6.9052777778,76.2648148148,0.974537037,24.845462963,25.287037037,1.4255555556,32.4351851852,6.9928703704,0.9259259259,4.360462963,10.6282407407,7.0791666667,1.8109259259,50.825,4.192962963,18.9832407407,1.4049074074,146.8518518519,5.5674074074,4.4832407407,1.6658333333,6.9782407407,107.6111111111,74.4436111111,1233.8796296296,1.0,1.5687962963,328.8796296296,10.0669444444
2020-04-23,0.809506127,7.7505569996,15569.9962866691,3.5468808021,6.9232268845,76.0675826216,0.9757705162,24.4539546974,25.5764946157,1.4232268845,32.3199034534,7.0321203119,0.9283327144,4.3600074267,10.6911437059,7.0793724471,1.8156331229,50.66004456,4.2126810249,19.0709246194,1.413479391,147.233568511,5.4461567026,4.4954511697,1.6660787226,6.9428147048,107.454511697,74.8293724471,1231.7118455254,1.0,1.5705532863,331.8882287412,10.1079650947
2020-04-22,0.809054937,7.7500690163,15583.9974233919,3.5428361093,6.8638078587,76.5330818073,0.9683445293,24.2840710408,25.3372595933,1.4270727892,32.369559216,6.9660439864,0.9202171713,4.3652341953,10.7458360173,7.0823594368,1.7997607435,50.7002852673,4.1730928499,18.8104352627,1.4148339008,145.9464433606,5.3249286832,4.4530229134,1.6747952517,6.9943866753,107.6746112082,76.5584798012,1232.77813564,1.0,1.5826815128,326.7783196834,10.069292353
2020-04-21,0.8131401679,7.7500230691,15688.5023530497,3.5546738027,6.8821629602,76.9364215189,0.9704715327,24.3570176248,25.3271200517,1.4312078989,32.5449847744,6.9853280428,0.9227646027,4.3954969087,10.5973055274,7.0949524776,1.8047430101,50.8406385531,4.1792931623,18.995386177,1.420411553,145.6122543139,5.3168773646,4.4636892129,1.6776783243,6.9814524315,107.4005721141,76.8603857156,1232.204484636,1.0,1.5932453631,327.5998892682,10.1082402879
2020-04-20,0.8042633517,7.7502762431,15535.0,3.5711786372,6.867771639,76.5593922652,0.9685082873,24.04106814,25.1639042357,1.4231123389,32.4898710866,6.9523941068,0.9208103131,4.3744935543,10.3773480663,7.073572744,1.8009208103,50.7605893186,4.1686924494,18.7372007366,1.4111418048,144.4751381215,5.291252302,4.4546040516,1.6539594843,6.926335175,107.8360957643,74.5605893186,1218.7108655617,1.0,1.5732044199,326.4917127072,10.0021178637
2020-04-19,0.8009023941,7.7505524862,15585.6261510129,3.5900552486,6.8695211786,76.479281768,0.9682320442,24.026335175,25.0119705341,1.4223756906,32.5303867403,6.9719152855,0.9208103131,4.3699815838,10.3908839779,7.0737569061,1.8009208103,50.9162062615,4.1606813996,18.750092081,1.4069981584,144.1068139963,5.2300184162,4.4526703499,1.6614180479,6.9043278085,107.605893186,74.0009208103,1216.8784530387,1.0,1.573480663,323.9502762431,9.9952117864
2020-04-18,0.8009023941,7.7505524862,15585.6261510129,3.5900552486,6.8695211786,76.479281768,0.9682320442,24.026335175,25.0119705341,1.4223756906,32.5303867403,6.9719152855,0.9208103131,4.3699815838,10.3908839779,7.0737569061,1.8009208103,50.9162062615,4.1606813996,18.750092081,1.4069981584,144.1068139963,5.2300184162,4.4526703499,1.6614180479,6.9043278085,107.605893186,74.0009208103,1216.8784530387,1.0,1.573480663,323.9502762431,9.9952117864
2020-04-17,0.8009023941,7.7505524862,15585.6261510129,3.5900552486,6.8695211786,76.479281768,0.9682320442,24.026335175,25.0119705341,1.4223756906,32.5303867403,6.9719152855,0.9208103131,4.3699815838,10.3908839779,7.0737569061,1.8009208103,50.9162062615,4.1606813996,18.750092081,1.4069981584,144.1068139963,5.2300184162,4.4526703499,1.6614180479,6.9043278085,107.605893186,74.0009208103,1216.8784530387,1.0,1.573480663,323.9502762431,9.9952117864
2020-04-16,0.800541881,7.7508265981,15695.9955914769,3.5894562821,6.8533247612,76.8782145481,0.9658339456,24.1494305658,24.8466201323,1.4271675239,32.659808964,6.9810800882,0.9184423218,4.3768368846,10.4835598824,7.0711792799,1.796289493,50.8945628215,4.1594415871,18.5867927994,1.4106355621,143.7362233652,5.2342027921,4.4427810434,1.672483468,6.9347905952,107.5679647318,74.0457384276,1225.6704628949,1.0,1.5857825129,321.0506980162,10.0013776635
2020-04-15,0.8014766578,7.7513528387,15776.5844263047,3.6147849216,6.8455470971,76.5055489315,0.9661561038,23.9201137302,24.755571861,1.424653765,32.6799963313,6.9797303494,0.9171787581,4.3395395763,10.5019719343,7.0620930019,1.7938182152,50.7300742915,4.1622489223,18.723012015,1.4060350362,143.1716041456,5.238558195,4.4371273961,1.671374851,6.8873704485,107.4199761534,74.4790424654,1220.3430248555,1.0,1.5866275337,321.2877189764,10.0268733376
2020-04-14,0.7958861625,7.7510717869,15715.6708930037,3.5829608684,6.8068047067,76.1598102709,0.9616893186,23.5779439934,24.5042415397,1.4157621089,32.7100246283,6.9442670802,0.9121590805,4.3334853598,10.3181610873,7.0570099425,1.7840007297,50.5819574934,4.147860987,18.2664416674,1.3916811092,142.2056006568,5.1614521573,4.4096506431,1.6426160722,6.7930311046,107.3246374168,73.3305664508,1215.4793395968,1.0,1.5633494481,319.8941895467,9.9569460914
2020-04-13,0.805788166,7.7536578633,15867.4979295114,3.5813932088,6.8700653354,76.311309469,0.9715652894,23.9551854238,24.7621238612,1.4244041594,32.8195454127,7.009754302,0.9202171713,4.3375356584,10.3195914236,7.058893899,1.7997607435,50.5558111714,4.1949019969,18.0715008742,1.4047115119,143.4618569983,5.1491672035,4.4474095887,1.668169688,6.7390264102,108.8892978743,74.2523235484,1216.9780068096,1.0,1.6052268335,326.4562436735,10.0722370479
2020-04-12,0.805788166,7.7536578633,15867.4979295114,3.5813932088,6.8700653354,76.311309469,0.9715652894,23.9551854238,24.7621238612,1.4244041594,32.8195454127,7.009754302,0.9202171713,4.3375356584,10.3195914236,7.058893899,1.7997607435,50.5558111714,4.1949019969,18.0715008742,1.4047115119,143.4618569983,5.1491672035,4.4474095887,1.668169688,6.7390264102,108.8892978743,74.2523235484,1216.9780068096,1.0,1.6052268335,326.4562436735,10.0722370479
2020-04-11,0.805788166,7.7536578633,15867.4979295114,3.5813932088,6.8700653354,76.311309469,0.9715652894,23.9551854238,24.7621238612,1.4244041594,32.8195454127,7.009754302,0.9202171713,4.3375356584,10.3195914236,7.058893899,1.7997607435,50.5558111714,4.1949019969,18.0715008742,1.4047115119,143.4618569983,5.1491672035,4.4474095887,1.668169688,6.7390264102,108.8892978743,74.2523235484,1216.9780068096,1.0,1.6052268335,326.4562436735,10.0722370479
2020-04-10,0.805788166,7.7536578633,15867.4979295114,3.5813932088,6.8700653354,76.311309469,0.9715652894,23.9551854238,24.7621238612,1.4244041594,32.8195454127,7.009754302,0.9202171713,4.3375356584,10.3195914236,7.058893899,1.7997607435,50.5558111714,4.1949019969,18.0715008742,1.4047115119,143.4618569983,5.1491672035,4.4474095887,1.668169688,6.7390264102,108.8892978743,74.2523235484,1216.9780068096,1.0,1.6052268335,326.4562436735,10.0722370479
2020-04-09,0.805788166,7.7536578633,15867.4979295114,3.5813932088,6.8700653354,76.311309469,0.9715652894,23.9551854238,24.7621238612,1.4244041594,32.8195454127,7.009754302,0.9202171713,4.3375356584,10.3195914236,7.058893899,1.7997607435,50.5558111714,4.1949019969,18.0715008742,1.4047115119,143.4618569983,5.1491672035,4.4474095887,1.668169688,6.7390264102,108.8892978743,74.2523235484,1216.9780068096,1.0,1.6052268335,326.4562436735,10.0722370479
2020-04-08,0.80901481,7.7524606752,16222.9969644007,3.5924937908,6.8659736915,76.2330972312,0.9711158127,24.2265660933,25.0050593322,1.4273755864,32.7596357281,7.0126943243,0.919878576,4.3486339803,10.2971207801,7.0663232453,1.799098519,50.5721644743,4.1801122252,18.1790083709,1.4012510349,143.3170821452,5.2194830282,4.448992733,1.6736270812,6.7885199154,108.8768282587,75.5262625333,1218.2503909484,1.0,1.6186183424,330.5491675099,10.0620918039
